screen_name|created_at|text|retweet_count|favorite_count
realDonaldTrump|Tue Sep 11 20:16:49 +0000 2018|The safety of American people is my absolute highest priority. Heed the directions of your State and Local Officials. Please be prepared, be careful and be SAFE! https://t.co/YP7ssITwW9 https://t.co/LZIUCgdPTH|7270|27341
realDonaldTrump|Tue Sep 11 16:48:49 +0000 2018|"Small Business Optimism Soars to Highest Level Ever | Breitbart https://t.co/T6rFhfPz6n via @BreitbartNews"|8520|31085
realDonaldTrump|Tue Sep 11 15:32:28 +0000 2018|"#NeverForget #September11th 
https://t.co/l8WZer3UOL"|9641|33968
realDonaldTrump|Tue Sep 11 12:58:10 +0000 2018|17 years since September 11th!|17952|73372
realDonaldTrump|Tue Sep 11 12:24:52 +0000 2018|Departing Washington, D.C. to attend a Flight 93 September 11th Memorial Service in Shanksville, Pennsylvania with Melania. #NeverForget https://t.co/O2sFUeRqeb|12541|52227
realDonaldTrump|Tue Sep 11 11:59:08 +0000 2018|Rudy Giuliani did a GREAT job as Mayor of NYC during the period of September 11th. His leadership, bravery and skill must never be forgotten. Rudy is a TRUE WARRIOR!|19674|90609
realDonaldTrump|Tue Sep 11 11:41:33 +0000 2018|?ERIC Holder could be running the Justice Department right now and it would be behaving no differently than it is.? @LouDobbs|10760|43470
realDonaldTrump|Tue Sep 11 11:19:19 +0000 2018|New Strzok-Page texts reveal ?Media Leak Strategy.?  @FoxNews  So terrible, and NOTHING is being done at DOJ or FBI - but the world is watching, and they get it completely.|18090|64190
realDonaldTrump|Tue Sep 11 11:12:31 +0000 2018|#NeverForget  #September11th https://t.co/ExGrrVtrEf|13947|49352
realDonaldTrump|Tue Sep 11 11:08:35 +0000 2018|?We have found nothing to show collusion between President Trump &amp; Russia, absolutely zero, but every day we get more documentation showing collusion between the FBI &amp; DOJ, the Hillary campaign, foreign spies &amp; Russians, incredible.? @SaraCarterDC @LouDobbs|16413|55979
realDonaldTrump|Mon Sep 10 23:35:54 +0000 2018|https://t.co/Vh47XjGzpt|30839|87363
realDonaldTrump|Mon Sep 10 23:21:41 +0000 2018|Just had calls with South Carolina Governor Henry McMaster, North Carolina Governor Roy Cooper, and Virginia Governor Ralph Northam regarding the incoming storm. Federal Government stands by, ready to assist 24/7.|14255|63219
realDonaldTrump|Mon Sep 10 23:17:24 +0000 2018|My people just informed me that this is one of the worst storms to hit the East Coast in many years. Also, looking like a direct hit on North Carolina, South Carolina and Virginia. Please be prepared, be careful and be SAFE!|20996|86620
